region,sexo,edad,educc,activ,yoprcor,ypchtotcor,pueblos_indigenas,lugar_nac,pobreza
5,Mujer,17,Media incompleta,Inactivo/a,NA,652352,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,76,Básica incompleta,Inactivo/a,NA,232541,No pertenece,Nacido/a en Chile,Pobreza por ingresos
10,Hombre,20,Media completa,Desocupado/a,NA,321076,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,10,Básica incompleta,NA,NA,120713,No pertenece,Nacido/a en Chile,Pobreza severa
9,Mujer,38,Media completa,Inactivo/a,NA,198122,Pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Mujer,10,Básica incompleta,NA,NA,399678,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,44,Media completa,Desocupado/a,NA,204926,No pertenece,Nacido/a en Chile,NA
14,Mujer,43,Media completa,Inactivo/a,NA,312500,Pertenece,Nacido/a en Chile,No pobre
4,Mujer,44,Sin educación formal,Inactivo/a,NA,300180,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,49,Superior incompleta,Ocupado/a,2600000,2110417,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,6,Básica incompleta,NA,NA,192098,No pertenece,Nacido/a en Chile,Pobreza por ingresos
7,Hombre,49,Media completa,Ocupado/a,400000,559948,Pertenece,Nacido/a en Chile,NA
1,Mujer,76,Básica incompleta,Inactivo/a,NA,564503,No pertenece,Nacido/a en Chile,Pobreza multidimensional
2,Hombre,23,Superior incompleta,Inactivo/a,NA,373662,No pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Mujer,78,Media incompleta,Inactivo/a,NA,600000,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,66,Básica completa,Ocupado/a,500000,668840,No pertenece,Nacido/a en Chile,No pobre
3,Hombre,3,Sin educación formal,NA,NA,475119,Pertenece,Nacido/a en Chile,No pobre
7,Mujer,73,Básica incompleta,Inactivo/a,NA,322166,No pertenece,Nacido/a en Chile,No pobre
15,Hombre,61,Media incompleta,Ocupado/a,150000,317500,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,39,Básica incompleta,Ocupado/a,500000,201596,Pertenece,Nacido/a en Chile,Pobreza severa
7,Hombre,62,Superior completa,Desocupado/a,NA,381991,No pertenece,Nacido/a en Chile,Pobreza por ingresos
13,Mujer,20,Superior incompleta,Inactivo/a,NA,739933,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,87,Básica incompleta,Inactivo/a,NA,1051778,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,44,Básica incompleta,Inactivo/a,NA,138147,No pertenece,Nacido/a en Chile,Pobreza severa
4,Hombre,7,Básica incompleta,NA,NA,180560,No pertenece,Nacido/a en Chile,Pobreza severa
15,Mujer,49,Media completa,Ocupado/a,441000,616000,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,35,Superior completa,Ocupado/a,6500000,6395834,No pertenece,Nacido/a fuera de Chile,No pobre
3,Mujer,61,Media incompleta,Ocupado/a,125000,289447,No pertenece,Nacido/a en Chile,Pobreza multidimensional
14,Mujer,56,Básica incompleta,Inactivo/a,NA,231815,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,24,Media incompleta,Inactivo/a,NA,168000,No pertenece,Nacido/a fuera de Chile,Pobreza severa
2,Mujer,17,Media completa,Inactivo/a,NA,226529,No pertenece,Nacido/a en Chile,Pobreza por ingresos
9,Mujer,78,Básica completa,Inactivo/a,NA,233107,No pertenece,Nacido/a en Chile,Pobreza por ingresos
2,Hombre,85,Media incompleta,Inactivo/a,NA,829651,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,29,Media completa,Inactivo/a,NA,270509,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,10,Básica incompleta,NA,NA,131814,No pertenece,Nacido/a en Chile,Pobreza severa
4,Hombre,79,Básica completa,Inactivo/a,NA,587500,No pertenece,Nacido/a en Chile,No pobre
15,Mujer,23,Superior completa,Inactivo/a,NA,219110,No pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Hombre,31,Superior incompleta,Ocupado/a,900000,595001,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,19,Superior incompleta,Inactivo/a,NA,218321,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,77,Media incompleta,Inactivo/a,NA,732378,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,53,Superior incompleta,Inactivo/a,NA,434494,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,5,Sin educación formal,NA,NA,269687,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,7,Básica incompleta,NA,NA,259375,No pertenece,Nacido/a en Chile,No pobre
14,Mujer,51,Básica completa,Ocupado/a,100000,229329,Pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Mujer,63,Media incompleta,Inactivo/a,NA,216938,No pertenece,Nacido/a en Chile,Pobreza severa
1,Hombre,45,Básica completa,Ocupado/a,700000,271917,No pertenece,Nacido/a fuera de Chile,No pobre
3,Hombre,35,Superior completa,Ocupado/a,2000000,725000,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,73,Básica incompleta,Inactivo/a,NA,448529,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,53,Media completa,Inactivo/a,NA,402778,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,47,Media completa,Ocupado/a,500000,463343,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,12,Básica incompleta,NA,NA,309394,No pertenece,Nacido/a en Chile,NA
1,Mujer,47,Superior completa,Ocupado/a,437000,276495,No pertenece,Nacido/a en Chile,Pobreza severa
14,Hombre,35,Superior completa,Desocupado/a,NA,385162,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,26,Básica completa,Ocupado/a,480000,449228,No pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Mujer,57,Superior completa,Ocupado/a,9000000,5574444,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,20,Superior incompleta,Inactivo/a,NA,300000,No pertenece,Nacido/a en Chile,No pobre
10,Hombre,22,Media incompleta,Desocupado/a,NA,205000,No pertenece,Nacido/a fuera de Chile,Pobreza por ingresos
11,Hombre,14,Básica incompleta,NA,NA,211297,Pertenece,Nacido/a en Chile,Pobreza severa
5,Mujer,33,Superior completa,Ocupado/a,1500000,1556667,No pertenece,Nacido/a en Chile,No pobre
15,Hombre,23,Superior completa,Ocupado/a,500000,804584,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,67,Superior completa,Inactivo/a,NA,1100000,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,67,Media completa,Inactivo/a,NA,316852,No pertenece,Nacido/a en Chile,No pobre
15,Mujer,26,Superior completa,Ocupado/a,700000,813314,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,66,Media completa,Inactivo/a,NA,732148,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,19,Media completa,Desocupado/a,NA,256667,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
1,Mujer,10,Básica incompleta,NA,NA,260000,Pertenece,Nacido/a en Chile,No pobre
15,Hombre,13,Básica incompleta,NA,NA,482222,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,33,Sin educación formal,Inactivo/a,NA,568142,No pertenece,Nacido/a en Chile,Pobreza multidimensional
5,Mujer,30,Superior incompleta,Ocupado/a,800000,750000,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,18,Media completa,Inactivo/a,NA,281662,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,17,Media incompleta,Inactivo/a,NA,310000,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,41,Superior completa,Ocupado/a,1500000,1062417,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,46,Media completa,Ocupado/a,70000,278377,Pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Mujer,14,Media incompleta,NA,NA,494931,No pertenece,Nacido/a en Chile,Pobreza multidimensional
10,Hombre,24,Media completa,Desocupado/a,NA,592662,No pertenece,Nacido/a en Chile,No pobre
14,Hombre,85,Básica incompleta,Inactivo/a,NA,392370,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,55,Media incompleta,Ocupado/a,600000,354765,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,64,Superior completa,Inactivo/a,NA,895009,No pertenece,Nacido/a en Chile,Pobreza multidimensional
9,Mujer,10,Básica incompleta,NA,NA,560786,Pertenece,Nacido/a en Chile,No pobre
13,Mujer,41,Superior completa,Ocupado/a,1200000,1626945,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,57,Básica completa,Ocupado/a,250000,233333,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Hombre,38,Superior completa,Ocupado/a,650000,1332778,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,63,Media incompleta,Inactivo/a,NA,1014667,No pertenece,Nacido/a en Chile,No pobre
11,Hombre,12,Básica incompleta,NA,NA,458333,Pertenece,Nacido/a en Chile,No pobre
16,Hombre,53,Media completa,Ocupado/a,300000,600000,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,51,Media completa,Inactivo/a,NA,438208,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,39,Media completa,Desocupado/a,NA,266971,No pertenece,Nacido/a en Chile,No pobre
16,Hombre,47,Media completa,Ocupado/a,550000,250000,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,31,Básica completa,Inactivo/a,NA,418750,Pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Hombre,53,Media completa,Ocupado/a,700000,533333,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,61,Media completa,Ocupado/a,700000,600000,No pertenece,Nacido/a en Chile,No pobre
8,Mujer,51,Superior incompleta,Ocupado/a,250000,568333,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,36,Básica completa,Ocupado/a,200000,320000,Pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Mujer,23,Superior completa,Ocupado/a,500000,460000,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,58,Básica completa,Desocupado/a,NA,358991,No pertenece,Nacido/a en Chile,Pobreza por ingresos
8,Mujer,82,Media incompleta,Inactivo/a,NA,243009,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,64,Media completa,Inactivo/a,NA,330826,Pertenece,Nacido/a en Chile,No pobre
3,Hombre,72,Media incompleta,Inactivo/a,NA,2436987,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,13,Básica incompleta,NA,NA,282853,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Mujer,81,Media incompleta,Inactivo/a,NA,333333,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,71,Básica completa,Inactivo/a,NA,526417,No pertenece,Nacido/a en Chile,NA
1,Mujer,26,Media completa,Inactivo/a,NA,266667,No pertenece,Nacido/a fuera de Chile,No pobre
6,Hombre,73,Superior incompleta,Ocupado/a,2000000,2740000,No pertenece,Nacido/a en Chile,No pobre
14,Hombre,50,Superior completa,Inactivo/a,NA,1250000,No pertenece,Nacido/a en Chile,No pobre
12,Hombre,54,Básica incompleta,Ocupado/a,750000,506834,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,45,Superior completa,Ocupado/a,1400000,717778,No pertenece,Nacido/a en Chile,No pobre
