region,area,sexo,edad,ecivil,educc,e3,activ,o15,o10,o19,yoprcor,ypchtotcor,pobreza_severa,pueblos_indigenas,lugar_nac
5,2,2,17,8,3,1,3,NA,NA,NA,NA,652352,4,0,0
5,1,2,76,8,1,2,3,NA,NA,NA,NA,232541,2,0,0
10,1,1,20,8,4,2,2,NA,NA,NA,NA,321076,4,0,0
4,1,1,10,NA,1,1,NA,NA,NA,NA,NA,120713,1,0,0
9,2,2,38,2,4,2,3,NA,NA,NA,NA,198122,2,1,0
13,1,2,10,NA,1,1,NA,NA,NA,NA,NA,399678,4,0,0
6,1,2,44,1,4,2,2,NA,NA,NA,NA,204926,NA,0,0
14,1,2,43,1,4,2,3,NA,NA,NA,NA,312500,4,1,0
4,1,2,44,8,0,2,3,NA,NA,NA,NA,300180,4,0,0
13,1,2,49,1,5,2,1,5,44,1,2600000,2110417,4,0,0
13,1,2,6,NA,1,1,NA,NA,NA,NA,NA,192098,2,0,0
7,2,1,49,1,4,2,1,2,44,NA,400000,559948,NA,1,0
1,1,2,76,8,1,2,3,NA,NA,NA,NA,564503,3,0,0
2,1,1,23,8,5,1,3,NA,NA,NA,NA,373662,3,0,0
13,1,2,78,7,3,2,3,NA,NA,NA,NA,600000,4,0,0
16,1,1,66,1,2,2,1,5,44,1,500000,668840,4,0,0
3,1,1,3,NA,0,1,NA,NA,NA,NA,NA,475119,4,1,0
7,1,2,73,6,1,2,3,NA,NA,NA,NA,322166,4,0,0
15,1,1,61,1,3,2,1,2,36,NA,150000,317500,4,0,0
2,2,1,39,1,1,2,1,2,45,NA,500000,201596,1,1,0
7,2,1,62,5,6,2,2,NA,NA,NA,NA,381991,2,0,0
13,2,2,20,8,5,1,3,NA,NA,NA,NA,739933,4,0,0
9,1,2,87,7,1,2,3,NA,NA,NA,NA,1051778,4,0,0
8,1,2,44,1,1,2,3,NA,NA,NA,NA,138147,1,0,0
4,2,1,7,NA,1,1,NA,NA,NA,NA,NA,180560,1,0,0
15,1,2,49,8,4,2,1,5,32,1,441000,616000,4,0,0
13,1,1,35,1,6,2,1,5,45,1,6500000,6395834,4,0,1
3,1,2,61,7,3,2,1,7,20,3,125000,289447,3,0,0
14,2,2,56,1,1,2,3,NA,NA,NA,NA,231815,4,0,0
2,1,2,24,2,3,2,3,NA,NA,NA,NA,168000,1,0,1
2,1,2,17,8,4,1,3,NA,NA,NA,NA,226529,2,0,0
9,1,2,78,7,2,2,3,NA,NA,NA,NA,233107,2,0,0
2,1,1,85,1,3,2,3,NA,NA,NA,NA,829651,4,0,0
6,2,2,29,2,4,2,3,NA,NA,NA,NA,270509,4,0,0
9,1,2,10,NA,1,1,NA,NA,NA,NA,NA,131814,1,0,0
4,1,1,79,7,2,2,3,NA,NA,NA,NA,587500,4,0,0
15,1,2,23,8,6,2,3,NA,NA,NA,NA,219110,2,0,0
5,1,1,31,2,5,1,1,5,56,1,900000,595001,4,0,0
8,1,1,19,8,5,1,3,NA,NA,NA,NA,218321,4,0,0
6,1,2,77,7,3,2,3,NA,NA,NA,NA,732378,2,0,0
8,1,1,53,8,5,2,3,NA,NA,NA,NA,434494,4,0,0
2,1,1,5,NA,0,1,NA,NA,NA,NA,NA,269687,4,0,0
5,1,2,7,NA,1,1,NA,NA,NA,NA,NA,259375,4,0,0
14,2,2,51,8,2,2,1,2,40,NA,100000,229329,2,1,0
5,1,2,63,6,3,2,3,NA,NA,NA,NA,216938,1,0,0
1,1,1,45,2,2,2,1,5,44,1,700000,271917,4,0,1
3,1,1,35,2,6,2,1,4,45,1,2000000,725000,4,0,0
8,2,2,73,1,1,2,3,NA,NA,NA,NA,448529,4,0,0
5,1,2,53,1,4,2,3,NA,NA,NA,NA,402778,4,0,0
6,1,1,47,8,4,2,1,4,44,1,500000,463343,4,0,0
9,1,1,12,NA,1,1,NA,NA,NA,NA,NA,309394,NA,0,0
1,1,2,47,8,6,2,1,3,44,1,437000,276495,1,0,0
14,1,1,35,8,6,2,2,NA,NA,NA,NA,385162,4,0,0
5,1,1,26,2,2,2,1,5,48,3,480000,449228,3,0,0
13,1,2,57,2,6,2,1,5,40,1,9000000,5574444,4,0,0
5,2,1,20,8,5,1,3,NA,NA,NA,NA,300000,4,0,0
10,1,1,22,8,3,2,2,NA,NA,NA,NA,205000,2,0,1
11,1,1,14,8,1,1,NA,NA,NA,NA,NA,211297,1,1,0
5,1,2,33,6,6,2,1,3,44,1,1500000,1556667,4,0,0
15,1,1,23,8,6,2,1,2,40,NA,500000,804584,4,1,0
13,1,2,67,8,6,2,3,NA,NA,NA,NA,1100000,4,0,0
8,1,2,67,1,4,2,3,NA,NA,NA,NA,316852,4,0,0
15,1,2,26,8,6,2,1,5,44,1,700000,813314,4,1,0
13,1,2,66,1,4,2,3,NA,NA,NA,NA,732148,4,0,0
13,1,2,19,8,4,2,2,NA,NA,NA,NA,256667,3,0,1
1,2,2,10,NA,1,1,NA,NA,NA,NA,NA,260000,4,1,0
15,1,1,13,NA,1,1,NA,NA,NA,NA,NA,482222,4,0,0
13,1,2,33,8,0,2,3,NA,NA,NA,NA,568142,3,0,0
5,1,2,30,8,5,1,1,2,70,NA,800000,750000,4,0,0
13,1,2,18,8,4,1,3,NA,NA,NA,NA,281662,4,0,0
8,1,2,17,8,3,1,3,NA,NA,NA,NA,310000,4,0,0
13,1,2,41,2,6,2,1,5,40,1,1500000,1062417,4,0,0
8,1,2,46,5,4,2,1,2,30,NA,70000,278377,2,1,0
8,2,2,14,8,3,1,NA,NA,NA,NA,NA,494931,3,0,0
10,1,1,24,8,4,2,2,NA,NA,NA,NA,592662,4,0,0
14,1,1,85,1,1,2,3,NA,NA,NA,NA,392370,4,0,0
9,1,1,55,1,3,2,1,5,40,1,600000,354765,4,1,0
13,2,2,64,5,6,2,3,NA,NA,NA,NA,895009,3,0,0
9,1,2,10,NA,1,1,NA,NA,NA,NA,NA,560786,4,1,0
13,1,2,41,2,6,2,1,5,33,1,1200000,1626945,4,0,0
4,1,1,57,8,2,2,1,2,30,NA,250000,233333,2,0,0
8,1,1,38,1,6,2,1,5,44,1,650000,1332778,4,0,0
13,1,2,63,1,3,2,3,NA,NA,NA,NA,1014667,4,0,0
11,1,1,12,NA,1,1,NA,NA,NA,NA,NA,458333,4,1,0
16,1,1,53,8,4,2,1,5,60,3,300000,600000,4,0,0
6,2,2,51,1,4,2,3,NA,NA,NA,NA,438208,4,0,0
6,2,2,39,1,4,2,2,NA,NA,NA,NA,266971,4,0,0
16,1,1,47,1,4,2,1,5,40,1,550000,250000,4,0,0
2,2,1,31,8,2,2,3,NA,NA,NA,NA,418750,3,1,0
8,1,1,53,1,4,2,1,5,45,1,700000,533333,4,0,0
13,1,1,61,1,4,2,1,5,40,1,700000,600000,4,0,0
8,2,2,51,1,5,2,1,2,91,NA,250000,568333,4,0,0
9,1,1,36,8,2,2,1,2,40,NA,200000,320000,3,1,0
13,1,2,23,8,6,2,1,5,45,1,500000,460000,4,0,0
5,1,2,58,8,2,2,2,NA,NA,NA,NA,358991,2,0,0
8,2,2,82,1,3,2,3,NA,NA,NA,NA,243009,4,0,0
9,1,2,64,8,4,2,3,NA,NA,NA,NA,330826,4,1,0
3,1,1,72,1,3,2,3,NA,NA,NA,NA,2436987,4,0,0
13,1,2,13,NA,1,1,NA,NA,NA,NA,NA,282853,3,0,0
8,1,2,81,7,3,2,3,NA,NA,NA,NA,333333,4,0,0
6,1,1,71,5,2,2,3,NA,NA,NA,NA,526417,NA,0,0
1,1,2,26,8,4,2,3,NA,NA,NA,NA,266667,4,0,1
6,1,1,73,6,5,2,1,2,50,NA,2000000,2740000,4,0,0
14,2,1,50,6,6,2,3,NA,NA,NA,NA,1250000,4,0,0
12,2,1,54,1,1,2,1,5,44,1,750000,506834,4,0,0
13,1,2,45,8,6,2,1,3,44,1,1400000,717778,4,0,0
8,1,2,41,1,6,2,1,3,44,1,690000,278468,4,0,0
5,2,2,84,2,0,2,3,NA,NA,NA,NA,374356,3,0,0
8,2,1,43,1,4,2,1,5,60,1,700000,216847,3,0,0
5,1,2,10,NA,1,1,NA,NA,NA,NA,NA,426417,4,0,0
10,2,1,53,1,6,2,1,2,20,NA,250000,394774,3,0,0
1,1,2,6,NA,0,1,NA,NA,NA,NA,NA,305295,4,0,0
13,1,2,59,8,4,2,1,3,40,1,850000,1150000,4,0,0
12,1,2,60,1,6,2,1,2,6,NA,60000,633889,4,0,0
2,1,1,45,8,4,2,1,5,45,1,1000000,405750,4,0,0
3,1,2,42,2,4,2,3,NA,NA,NA,NA,350000,4,0,0
13,1,1,21,8,5,1,2,NA,NA,NA,NA,296731,3,0,0
5,1,2,57,7,4,2,1,7,50,1,240000,590000,4,0,0
12,1,2,63,5,4,2,1,5,44,1,500000,562166,4,0,0
13,1,1,63,1,4,2,1,3,44,1,500000,514000,4,0,0
5,1,1,23,8,5,1,3,NA,NA,NA,NA,1918750,4,0,0
15,1,2,33,2,6,2,1,5,20,1,300000,591803,4,0,1
13,1,2,40,2,6,2,3,NA,NA,NA,NA,1270833,4,0,0
5,2,2,33,2,4,2,1,2,20,NA,NA,152724,2,1,0
9,2,2,57,7,1,2,3,NA,NA,NA,NA,138812,2,1,0
7,1,1,59,1,1,2,1,2,44,NA,500000,424019,NA,0,0
11,2,1,70,1,4,2,3,NA,NA,NA,NA,575000,4,0,0
1,1,2,29,2,4,2,1,2,8,NA,450000,290500,4,0,1
9,2,1,5,NA,0,1,NA,NA,NA,NA,NA,182886,1,1,0
7,2,1,50,1,6,2,1,2,70,NA,500000,700000,4,0,0
7,1,2,53,8,4,2,3,NA,NA,NA,NA,522588,2,0,0
8,1,1,22,1,3,2,1,5,42,1,635000,350000,3,0,1
5,1,2,58,7,6,2,3,NA,NA,NA,NA,475000,4,0,0
2,1,2,42,1,6,2,1,5,40,1,650000,454941,4,0,0
5,1,2,35,1,6,2,3,NA,NA,NA,NA,425000,4,0,0
16,1,2,54,6,2,2,1,5,20,1,215000,365612,4,0,0
10,1,1,1,NA,0,2,NA,NA,NA,NA,NA,317750,4,0,0
8,1,1,47,6,5,2,1,2,4,NA,100000,322333,4,0,0
5,1,1,49,1,4,2,1,5,46,1,450000,233101,1,0,0
3,1,1,39,8,4,2,2,NA,NA,NA,NA,197364,2,1,0
15,2,1,7,NA,1,1,NA,NA,NA,NA,NA,326667,3,1,1
1,1,2,29,2,6,2,1,5,25,1,700000,666667,4,0,0
1,1,2,86,2,1,2,3,NA,NA,NA,NA,662699,4,1,0
13,1,2,10,NA,1,1,NA,NA,NA,NA,NA,438651,4,0,0
13,1,1,75,1,1,2,3,NA,NA,NA,NA,420443,4,0,0
2,1,2,43,1,6,2,3,NA,NA,NA,NA,465000,2,1,0
13,1,2,25,8,6,2,1,5,45,1,600000,553433,4,0,1
7,2,2,53,1,6,2,1,5,44,1,1500000,1060625,4,0,0
7,1,1,2,NA,0,2,NA,NA,NA,NA,NA,194849,3,0,0
10,1,1,0,NA,0,2,NA,NA,NA,NA,NA,188444,4,1,0
6,2,2,47,1,1,2,3,NA,NA,NA,NA,551073,3,0,0
7,1,2,75,7,3,2,3,NA,NA,NA,NA,532786,2,0,0
10,1,1,45,8,4,2,1,2,40,NA,200000,379939,4,0,0
14,1,2,76,1,4,2,3,NA,NA,NA,NA,872432,4,0,0
2,1,1,29,2,6,2,1,5,40,1,700000,331402,4,0,1
9,2,2,70,1,1,2,3,NA,NA,NA,NA,289296,3,1,0
4,1,2,15,8,3,1,3,NA,NA,NA,NA,171327,2,1,0
6,1,1,31,2,4,2,1,5,44,1,600000,300000,3,0,0
13,1,1,39,1,6,2,1,5,45,1,1100000,270000,4,0,0
7,1,2,32,2,6,2,1,5,36,3,400000,468912,4,1,0
10,2,2,90,7,1,2,3,NA,NA,NA,NA,665977,4,1,0
6,2,1,76,1,1,2,3,NA,NA,NA,NA,349250,4,0,0
2,1,2,66,7,4,2,3,NA,NA,NA,NA,972083,4,0,0
6,1,2,28,8,5,1,1,3,44,1,900000,1200000,4,0,0
10,1,2,6,NA,0,1,NA,NA,NA,NA,NA,194736,3,0,0
13,1,1,12,NA,1,1,NA,NA,NA,NA,NA,1236250,4,0,0
9,1,2,29,8,6,2,1,2,18,NA,500000,1050000,4,0,0
13,1,2,17,8,3,1,3,NA,NA,NA,NA,264050,3,0,1
2,1,1,49,2,5,2,1,5,40,1,900000,341619,4,0,0
5,1,2,65,8,1,2,1,7,48,1,430000,331998,3,0,1
5,1,2,31,8,4,2,3,NA,NA,NA,NA,196667,2,0,0
5,1,2,11,NA,1,1,NA,NA,NA,NA,NA,356326,4,0,0
7,2,2,32,1,4,2,3,NA,NA,NA,NA,268074,4,0,0
9,1,1,33,8,6,2,1,3,44,1,750000,585250,4,1,0
7,1,2,78,7,0,2,3,NA,NA,NA,NA,746499,4,0,0
13,1,1,51,2,1,2,3,NA,NA,NA,NA,396000,4,0,0
2,1,2,18,8,4,1,3,NA,NA,NA,NA,394500,4,0,1
13,1,1,81,5,3,2,3,NA,NA,NA,NA,535398,4,0,0
7,1,2,30,8,6,2,3,NA,NA,NA,NA,399375,4,0,0
13,1,1,52,2,2,2,1,5,45,1,600000,402389,4,0,0
16,1,2,30,1,6,2,1,5,20,3,900000,1168333,4,0,0
4,1,1,17,8,3,1,3,NA,NA,NA,NA,635833,NA,0,0
9,2,1,52,8,1,2,1,5,14,3,400000,554167,3,1,0
2,1,1,38,8,6,2,1,2,8,NA,400000,800000,4,0,0
14,1,1,33,1,5,2,1,2,30,NA,300000,188432,1,0,0
13,2,1,33,2,6,2,1,2,90,NA,10000000,2737500,4,0,0
7,1,2,23,8,5,1,3,NA,NA,NA,NA,235710,4,0,0
4,1,1,14,8,2,1,NA,NA,NA,NA,NA,1112500,4,0,0
1,1,1,14,8,2,1,NA,NA,NA,NA,NA,226510,2,0,1
13,1,1,3,NA,0,1,NA,NA,NA,NA,NA,285692,4,0,0
7,1,1,13,NA,2,1,NA,NA,NA,NA,NA,581389,4,0,0
15,1,2,70,7,3,2,3,NA,NA,NA,NA,190398,2,0,0
5,1,2,54,1,4,2,3,NA,NA,NA,NA,366667,4,0,0
5,1,1,33,8,6,2,1,3,50,1,2000000,2612166,4,0,0
